encoder_fn_name,encoder_fn_kwargs_path,reduce_fn_name,reduce_fn_kwargs_path,epochs,measurements,lens_batch_size,knn_batch_size,encoder_lr,lens_lr,predictor_lr,encoder_wd,lens_wd,predictor_wd,train_families,use_transformer,use_bert,restore_transformer_dir,test_knn_accuracy_untrained_lens_1_knn_train_samples,test_knn_accuracy_untrained_lens_5_knn_train_samples,test_knn_accuracy_untrained_lens_10_knn_train_samples,test_knn_accuracy_untrained_lens_50_knn_train_samples,lens_accuracy_measurement_0,lens_cross_entropy_measurement_0,test_knn_accuracy_trained_lens_1_knn_train_samples_measurement_0,test_knn_accuracy_trained_lens_5_knn_train_samples_measurement_0,test_knn_accuracy_trained_lens_10_knn_train_samples_measurement_0,test_knn_accuracy_trained_lens_50_knn_train_samples_measurement_0,lens_accuracy_measurement_1,lens_cross_entropy_measurement_1,test_knn_accuracy_trained_lens_1_knn_train_samples_measurement_1,test_knn_accuracy_trained_lens_5_knn_train_samples_measurement_1,test_knn_accuracy_trained_lens_10_knn_train_samples_measurement_1,test_knn_accuracy_trained_lens_50_knn_train_samples_measurement_1,train_knn_accuracy_untrained_lens_1_knn_train_samples,train_knn_accuracy_trained_lens_1_knn_train_samples_measurement_0,train_knn_accuracy_trained_lens_1_knn_train_samples_measurement_1,first_test_family,last_test_family,lens_shuffle_seed,lens_sample_random_state,knn_shuffle_seed,knn_sample_random_state,gcs_bucket,save_dir,lens_train_samples,data_partitions_dirpath,results_save_dir,load_model,load_model_dir,load_model_step,save_model,save_model_dir,index,model_random_key
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.0005,1e-05,1e-05,0.3,0.1,0.1,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.4082807982177561,295420.28125,0.4898989898989899,0.7308802308802309,0.8059163059163059,0.8888888888888888,0.5967436128359482,182280.34375,0.5468975468975469,0.7763347763347763,0.8470418470418472,0.9105339105339104,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
transformer,medium_transformer_kwargs,linear_max_pool,linear_pool_1024,10,2.0,64,64,0.0,5e-05,0.001,0.0,0.05,0.05,10000,True,True,,0.5764790764790765,0.8297258297258298,0.8852813852813853,0.9523809523809524,0.9352514575532066,25670.357421875,0.6940836940836941,0.8997113997113997,0.9357864357864358,0.9689754689754688,0.9488789875337724,21795.08203125,0.6645021645021645,0.8773448773448773,0.9199134199134201,0.9646464646464646,0.3199862539697587,0.530146466322226,0.5015997535194577,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.0001,1e-05,0.001,0.1,0.05,0.05,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.890079158174148,42082.94140625,0.6132756132756133,0.8333333333333334,0.8795093795093795,0.9365079365079364,0.9074868464710624,35786.82421875,0.6111111111111112,0.8232323232323232,0.8759018759018758,0.9278499278499278,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.0005,0.0001,0.001,0.05,0.2,0.1,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.8763568279850216,49308.1171875,0.6053391053391053,0.8261183261183261,0.8831168831168831,0.9343434343434344,0.8790112338247145,50741.01953125,0.5966810966810967,0.8131313131313131,0.8694083694083694,0.9307359307359307,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.001,0.0001,0.0005,0.1,0.1,0.1,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.8803858368488411,46938.859375,0.6190476190476191,0.8246753246753247,0.8759018759018758,0.9422799422799424,0.8852561975636346,46954.3359375,0.6024531024531025,0.8152958152958153,0.8694083694083694,0.9264069264069263,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.001,5e-05,1e-05,0.2,0.1,0.1,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.47933355453382,252810.1875,0.5108225108225108,0.7453102453102453,0.8102453102453102,0.8924963924963925,0.6451035692278523,158154.0625,0.5699855699855699,0.797979797979798,0.8506493506493507,0.9199134199134201,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.0001,5e-05,1e-05,0.2,0.1,0.1,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.2819595203109447,383922.0,0.4076479076479077,0.6464646464646465,0.7359307359307359,0.8391053391053391,0.5609802341565151,202563.359375,0.5086580086580087,0.7568542568542569,0.8124098124098124,0.8975468975468975,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.001,5e-05,0.0001,0.05,0.05,0.05,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.8489358676589088,60345.6953125,0.6349206349206349,0.8405483405483406,0.8910533910533911,0.9386724386724388,0.885730198606437,49263.75,0.6551226551226551,0.8513708513708513,0.8968253968253969,0.943001443001443,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.0001,1e-05,0.0001,0.2,0.2,0.0,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.8524908754799261,59406.140625,0.6024531024531025,0.834054834054834,0.8881673881673882,0.937950937950938,0.9026638858605488,37076.15625,0.6428571428571429,0.8556998556998557,0.9018759018759018,0.9487734487734488,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
cnn_one_hot,2-layer_cnn_kwargs,linear_max_pool,linear_pool_1024,10,2.0,512,512,0.0001,1e-05,0.0001,0.2,0.05,0.1,10000,False,False,,0.30303030303030304,0.5613275613275613,0.6536796536796536,0.7864357864357865,0.8561762335877139,57655.55859375,0.6096681096681097,0.8297258297258298,0.8845598845598845,0.9393939393939394,0.9101886524150352,35057.52734375,0.652958152958153,0.8470418470418472,0.9025974025974026,0.9531024531024532,,,,15000,16000,0,0,1,1,sequin-public,pfam_experiment_data,50,random_split/,,,,,,,,0.0
